timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
105604,9.8234,0.7111,0.4166,-0.0821,0.1308,-0.0053,seizure
105628,10.1299,0.5866,0.6153,-0.0858,0.0949,-0.0139,seizure
105652,9.7468,2.3487,-0.2562,-0.0461,-0.2667,-0.3970,seizure
105676,10.2161,0.5339,1.0894,0.1916,-0.0938,-0.3357,seizure
105700,10.0820,0.1460,0.4741,0.1593,-0.1652,-0.4778,seizure
105724,10.1155,0.7159,-0.1269,0.1823,-0.0448,-0.7546,seizure
105748,10.8888,1.0151,0.4764,0.2145,-0.0330,-1.1338,seizure
105772,11.3796,1.8483,0.9170,0.0477,0.1255,-0.9270,seizure
105796,10.4579,2.1141,1.3312,-0.0464,0.8668,-0.2856,seizure
105820,9.2536,1.7430,1.2450,-0.2515,1.7317,-0.1106,seizure
105844,11.2719,2.0758,1.7286,-0.3240,1.9225,-0.0624,seizure
105868,10.0700,2.2194,0.8380,-0.3509,0.8673,0.1266,seizure
105892,9.4140,1.8579,1.0127,-0.1753,0.4175,-0.2393,seizure
105916,10.5393,2.0758,2.3535,0.0053,0.1740,-0.6262,seizure
105940,11.1642,2.3272,3.8355,-0.0448,0.2398,-0.4005,seizure
105964,11.0038,2.3607,4.4891,-0.1988,0.2206,0.0671,seizure
105988,9.9766,1.6113,3.6200,-0.3461,0.1788,0.4828,seizure
106012,9.4164,1.2115,1.5850,-0.3144,-0.2244,0.4405,seizure
106036,8.6072,1.7765,-1.7095,-0.0048,-0.8338,0.1458,seizure
106060,6.5434,0.8667,-3.2465,0.3704,-0.8900,-0.1796,seizure
106084,7.0318,1.0271,-2.9329,0.5462,-0.4794,-0.4085,seizure
106108,6.3925,0.4836,-0.1628,0.4586,-0.0661,-0.1911,seizure
106132,7.1970,1.6999,4.3838,0.1490,0.3163,-0.4383,seizure
106156,12.8066,4.6448,8.1642,0.1617,-0.2662,-0.8218,seizure
106180,14.8704,4.7070,9.1889,0.2145,-1.1461,-0.7653,seizure
106204,12.2775,2.4995,4.8147,-0.3219,-0.9459,-0.0898,seizure
106228,8.3199,1.1684,-5.1763,-0.8431,0.3600,0.8958,seizure
106252,5.3893,-0.4118,-12.9957,-0.6734,1.2820,1.8423,seizure
106276,-0.1125,-0.7039,-11.6262,0.0949,1.0224,0.8021,seizure
106300,5.4564,4.4197,0.8954,1.2545,0.2260,-1.8530,seizure
106324,15.3923,4.7764,14.2718,1.2726,-1.0690,-3.2911,seizure
106348,18.2725,5.8012,13.3166,-0.0053,-0.3296,-1.7296,seizure
106372,15.3013,2.7845,5.0350,-1.2148,1.1138,1.1535,seizure
106396,8.2887,2.1524,-2.7533,-1.4104,1.5705,2.9524,seizure
106420,3.9552,0.7063,-4.8052,-0.6376,0.5825,1.6374,seizure
106444,6.0789,1.5490,-3.4381,0.0877,-0.2041,-0.6571,seizure
106468,10.0844,2.3631,-0.1987,0.2774,-0.1945,-0.9974,seizure
106492,10.7787,2.8802,3.0047,-0.0560,0.2585,-0.2403,seizure
106516,9.7875,3.0694,4.3622,-0.4642,0.7970,0.2915,seizure
106540,8.7364,2.6552,3.2394,-0.6662,1.1040,0.3944,seizure
106564,9.2991,2.4493,2.3296,-0.6041,1.0485,0.1873,seizure
106588,9.3494,2.3152,1.9776,-0.3944,0.8250,0.0711,seizure
106612,9.1794,2.0590,1.8483,-0.1085,0.3224,-0.1202,seizure
106636,9.2560,2.0806,2.0638,0.1050,-0.0008,-0.3456,seizure
106660,9.3446,1.7693,3.0478,0.1029,-0.0386,-0.3128,seizure
106684,9.0836,2.0039,2.9281,-0.0306,0.1268,-0.1364,seizure
106708,9.0261,2.1500,3.0335,-0.1383,0.4237,-0.0213,seizure
106732,9.8474,2.3798,3.2968,-0.1247,0.4892,-0.0131,seizure
106756,9.6510,2.3655,3.4213,-0.0290,0.2912,0.0045,seizure
106780,9.9719,2.2625,3.2848,0.0416,0.0762,-0.0983,seizure
106804,9.6726,2.1596,3.5147,-0.0357,0.0296,0.0533,seizure
106828,8.8011,2.0782,2.8754,-0.1074,0.0949,0.0815,seizure
106852,9.3518,2.0997,2.7677,-0.0845,0.1247,0.0125,seizure
106876,9.4643,2.2266,2.5618,-0.0200,0.0786,-0.0099,seizure
106900,9.3613,2.1548,3.0526,0.0480,0.0719,-0.0189,seizure
106924,9.1243,2.1691,2.9425,0.0677,0.0674,-0.0485,seizure
106948,9.1363,2.1931,2.9736,0.0373,0.1407,-0.0528,seizure
106972,9.3039,2.2434,2.9784,0.0362,0.2065,-0.0642,seizure
106996,9.2153,2.2913,3.1699,0.0437,0.2348,-0.0448,seizure
107020,9.2033,2.1572,3.4405,0.0301,0.2284,-0.0258,seizure
107044,9.0692,2.2721,3.3639,0.1037,0.1188,-0.0019,seizure
107068,8.8681,2.4852,3.3567,0.2100,0.1548,-0.0333,seizure
107092,9.3374,2.6552,3.5674,0.2630,0.0930,-0.1889,seizure
107116,9.4547,2.5833,3.3447,0.2014,-0.0400,-0.2558,seizure
107140,9.3039,2.3439,3.2609,0.0949,-0.0474,-0.0602,seizure
107164,9.7995,2.2649,3.5817,0.0719,-0.2025,0.0234,seizure
107188,8.8729,2.2817,3.1388,0.1029,-0.3400,0.1684,seizure
107212,8.4827,2.3607,2.8395,0.1633,-0.1122,0.2366,seizure
107236,9.4164,2.4876,2.7964,0.2947,-0.3016,0.1156,seizure
107260,9.1674,2.5546,2.3774,0.3432,-0.4386,0.0933,seizure
107284,9.7109,2.5402,2.0542,0.4418,-0.5188,0.0682,seizure
107308,9.9192,2.5259,2.3607,0.5321,-0.9659,0.0514,seizure
107332,10.3382,2.2769,2.6217,0.5761,-1.2870,-0.0269,seizure
107356,10.1203,2.0494,3.0023,0.5303,-1.7541,0.2393,seizure
107380,8.8562,2.2458,1.9848,0.3509,-1.7333,0.4610,seizure
107404,10.7404,2.3200,1.7190,0.0181,-1.1349,1.1040,seizure
107428,9.5289,2.2194,0.0335,-0.1250,-0.9819,1.1490,seizure
107452,8.8562,2.5307,-3.0478,-0.1545,-0.9230,1.0746,seizure
107476,8.4635,1.4269,0.2993,0.1045,-0.8220,0.7304,seizure
107500,8.7963,1.0463,0.2849,-0.0757,-0.7973,0.2638,seizure
107524,9.3685,0.9649,0.7302,-0.2806,-0.5380,0.3099,seizure
107548,9.8234,1.4030,0.4741,-0.5169,-0.1111,0.3222,seizure
107572,9.9958,1.5443,-0.0886,-0.5412,-0.0669,0.2958,seizure
107596,10.0916,1.2210,-0.2131,-0.4570,-0.1793,0.1404,seizure
107620,9.2680,1.4557,-1.1253,-0.4197,-0.1561,-0.0434,seizure
107644,9.8593,1.2139,-1.1492,-0.2904,0.0914,-0.1255,seizure
107668,10.6063,1.0511,-0.4621,-0.2633,-0.0738,-0.0493,seizure
107692,10.0197,1.1349,-0.6416,-0.2284,-0.3885,-0.1668,seizure
107716,10.0676,0.7733,-0.5818,-0.2172,-0.5753,-0.3968,seizure
107740,10.0197,1.2498,-1.1013,-0.2558,-0.4189,-0.4794,seizure
107764,10.3717,1.0080,-1.2139,-0.3635,-0.2683,-0.2814,seizure
